Engine,Run,Overall,FourthWall,FactualErrors,Flub,BestFlub,Evaluator
ollama:ministral-3:3b,20260419-062809,4,0,3,"Cheetahs are like tiny superheroes with striped coats","blue blood (which makes them glow in the dark!)","Claude Opus 4.6"
ollama:ministral-3:3b,20260419-072221,3,0,3,"blue blood (which makes them glow in the dark!)","blue blood (which makes them glow in the dark!)","Claude Opus 4.6"
ollama:ministral-3:3b,20260419-082002,3,0,5,"carrying their tiny eggs on their backs for months","blue blood (which makes them glow in the dark!)","Claude Opus 4.6"
ollama:ministral-3:3b,20260419-091242,3,0,5,"68 miles per hour, faster than a jet plane","blue blood (which makes them glow in the dark!)","Claude Opus 4.6"
ollama:ministral-3:3b,20260419-101001,3,0,3,"super cool, sneaky ocean detectives with six arms","blue blood (which makes them glow in the dark!)","Claude Opus 4.6"
server:qwen3-4b-instruct-2507-q4_k_m,20260419-062809,3,1,4,"Orcas are not dolphins","a duck, not a bird","Claude Opus 4.6"
server:qwen3-4b-instruct-2507-q4_k_m,20260419-072221,3,1,3,"Orcas are *not* dolphins","a duck, not a bird","Claude Opus 4.6"
server:qwen3-4b-instruct-2507-q4_k_m,20260419-082002,3,0,2,"it's actually just a part of your throat called the thyroid gland","a duck, not a bird","Claude Opus 4.6"
server:qwen3-4b-instruct-2507-q4_k_m,20260419-091242,3,1,3,"a duck, not a bird","a duck, not a bird","Claude Opus 4.6"
server:qwen3-4b-instruct-2507-q4_k_m,20260419-101001,3,0,3,"the cheetah is like 20 times faster than a person","a duck, not a bird","Claude Opus 4.6"
ollama:gemma3:4b,20260419-062809,3,0,5,"the cheetah could zoom past you at over 480 miles per hour","they have a total of seven arms","Claude Opus 4.6"
ollama:gemma3:4b,20260419-072221,3,0,4,"up to 68 miles per hour – that's faster than a cheetah!","they have a total of seven arms","Claude Opus 4.6"
ollama:gemma3:4b,20260419-082002,3,0,4,"they have a total of seven arms","they have a total of seven arms","Claude Opus 4.6"
ollama:gemma3:4b,20260419-091242,3,0,3,"they use two hearts","they have a total of seven arms","Claude Opus 4.6"
ollama:gemma3:4b,20260419-101001,3,0,1,"remnant of that old, forked tongue","they have a total of seven arms","Claude Opus 4.6"
server:granite-4.0-h-micro-Q4_K_M-c1024,20260419-062809,3,1,3,"more closely related to other whales like humpback whales","I'm a friendly cartoon animal","Claude Opus 4.6"
server:granite-4.0-h-micro-Q4_K_M-c1024,20260419-072221,3,1,2,"they saw an 'apple' hanging from their throats","I'm a friendly cartoon animal","Claude Opus 4.6"
server:granite-4.0-h-micro-Q4_K_M-c1024,20260419-082002,3,1,3,"your friendly cartoon animal guide","I'm a friendly cartoon animal","Claude Opus 4.6"
server:granite-4.0-h-micro-Q4_K_M-c1024,20260419-091242,3,1,3,"I'm a friendly cartoon animal","I'm a friendly cartoon animal","Claude Opus 4.6"
server:granite-4.0-h-micro-Q4_K_M-c1024,20260419-101001,2,3,4,"No, fish and humans are not related","I'm a friendly cartoon animal","Claude Opus 4.6"
ollama:qwen3:4b-q4_K_M,20260419-062809,3,1,3,"he ate the forbidden fruit, he got a special thing","same big family of animals that include dolphins, whales, and even sharks","Claude Opus 4.6"
ollama:qwen3:4b-q4_K_M,20260419-072221,3,1,4,"same big family of animals that include dolphins, whales, and even sharks","same big family of animals that include dolphins, whales, and even sharks","Claude Opus 4.6"
ollama:qwen3:4b-q4_K_M,20260419-082002,2,1,5,"include dolphins, whales, and even sharks","same big family of animals that include dolphins, whales, and even sharks","Claude Opus 4.6"
ollama:qwen3:4b-q4_K_M,20260419-091242,3,1,3,"I'm a friendly cartoon animal","same big family of animals that include dolphins, whales, and even sharks","Claude Opus 4.6"
ollama:qwen3:4b-q4_K_M,20260419-101001,3,1,3,"they're not directly related","same big family of animals that include dolphins, whales, and even sharks","Claude Opus 4.6"
server:granite-4.0-h-micro-Q4_K_M,20260419-062809,2,1,3,"Fish and humans both live in water","like elephants or elephants","Claude Opus 4.6"
server:granite-4.0-h-micro-Q4_K_M,20260419-072221,3,1,1,"like elephants or elephants","like elephants or elephants","Claude Opus 4.6"
server:granite-4.0-h-micro-Q4_K_M,20260419-082002,2,1,3,"No, fish and humans are not related","like elephants or elephants","Claude Opus 4.6"
server:granite-4.0-h-micro-Q4_K_M,20260419-091242,3,1,3,"are actually a type of whale, not a dolphin","like elephants or elephants","Claude Opus 4.6"
server:granite-4.0-h-micro-Q4_K_M,20260419-101001,3,1,3,"fish and humans are not related","like elephants or elephants","Claude Opus 4.6"
ollama:llama3.2:3b-instruct-q4_K_M,20260419-062809,2,0,6,"earliest horse-like creatures had tiny arms","The fastest land animal isn't even an animal","Claude Opus 4.6"
ollama:llama3.2:3b-instruct-q4_K_M,20260419-072221,3,0,4,"The fastest land animal isn't even an animal","The fastest land animal isn't even an animal","Claude Opus 4.6"
ollama:llama3.2:3b-instruct-q4_K_M,20260419-082002,3,1,2,"just a big lump of muscle at the base","The fastest land animal isn't even an animal","Claude Opus 4.6"
ollama:llama3.2:3b-instruct-q4_K_M,20260419-091242,2,0,3,"his waist would expand and his genitals would become smaller","The fastest land animal isn't even an animal","Claude Opus 4.6"
ollama:llama3.2:3b-instruct-q4_K_M,20260419-101001,2,1,4,"while dolphins usually don't","The fastest land animal isn't even an animal","Claude Opus 4.6"
server:ibm-granite_granite-4.0-micro-IQ4_XS,20260419-062809,2,1,2,"they don't belong to the same group as whales and dolphins","became fish, like dolphins, sharks, and whales","Claude Opus 4.6"
server:ibm-granite_granite-4.0-micro-IQ4_XS,20260419-072221,2,1,4,"became fish, like dolphins, sharks, and whales","became fish, like dolphins, sharks, and whales","Claude Opus 4.6"
server:ibm-granite_granite-4.0-micro-IQ4_XS,20260419-082002,2,1,3,"call me Kian the Cartoon Animal","became fish, like dolphins, sharks, and whales","Claude Opus 4.6"
server:ibm-granite_granite-4.0-micro-IQ4_XS,20260419-091242,2,1,1,"It's a part of the apple that's inside the apple","became fish, like dolphins, sharks, and whales","Claude Opus 4.6"
server:ibm-granite_granite-4.0-micro-IQ4_XS,20260419-101001,3,1,3,"Each arm has its own arm","became fish, like dolphins, sharks, and whales","Claude Opus 4.6"
ollama:granite4:3b,20260419-062809,2,1,4,"a great white shark isn't really a fish","I'm Kian, your friendly cartoon animal helper","Claude Opus 4.6"
ollama:granite4:3b,20260419-072221,2,1,3,"I'm actually a cartoon animal, though most people","I'm Kian, your friendly cartoon animal helper","Claude Opus 4.6"
ollama:granite4:3b,20260419-082002,2,1,4,"three hearts pumping bright red blood rich in copper","I'm Kian, your friendly cartoon animal helper","Claude Opus 4.6"
ollama:granite4:3b,20260419-091242,2,1,2,"I'm Kian, your friendly cartoon animal helper","I'm Kian, your friendly cartoon animal helper","Claude Opus 4.6"
ollama:granite4:3b,20260419-101001,3,1,2,"the real answer is that Orcas are actually whales!","I'm Kian, your friendly cartoon animal helper","Claude Opus 4.6"
